id,hullIds,name,paintjobFamily,spriteId,unlockedAutomatically,tags,unlockConditions,description
# id: Required. The id of the paintjob. Must be unique. Prefix with your mod id. Examples: magiclib_fury_racing magiclib_onslaught_pirate
# hullIds: Required. The ids of the hull that this paintjob applies to. Must contain at least one valid hull id.
# name: Required. The name of the paintjob.
# paintjobFamily: Optional. The name of the paintjob family this paintjob belongs to. Used for Weapon and Module paintjobs.
# spriteId: Required. The path or spriteName of the ship sprite.
# unlockedAutomatically: Optional. Defaults to true. If true: the paintjob is unlocked by default. Otherwise it must be manually unlocked using code (e.g. in achievement complete code).
# tags: Optional.
#    MagicLib_PermanentPJ: The paintjob is permanent. It cannot be removed or changed by the player.
#    MagicLib_ShinyPJ: The paintjob will appear in NPC fleets very rarely. It is permanent and **cannot be unlocked by the player**.
# unlockConditions: Optional. Defaults to none. How to unlock the paintjob. Aim for one or two sentences.
# description: Optional. Defaults to none. The description of the paintjob. Aim for one or two sentences.

# More info: https://starsector.wiki.gg/wiki/MagicLib#Ship_Sprite

# Example
# magiclib_hullid_examplePaintjob,fury,Whitefox,Whitefox,graphics/ships/magicPaintjob_example_ship.png,false,,Complete the 'Slayer' achievement to unlock.,Whitefox Fury sprite by Nes.

# Modules Example
# SCY_bluesky_nemeanlion,SCY_nemeanlion,Bluesky,Bluesky,graphics/bluesky/ships/SCY_nemeanLion.png,true,,,
# SCY_bluesky_lion_armorFL,SCY_lionFL,Bluesky,Bluesky,graphics/bluesky/ships/SCY_nemeanLion_armorFrontLeft.png,true,,,
# SCY_bluesky_lion_armorFR,SCY_lionFR,Bluesky,Bluesky,graphics/bluesky/ships/SCY_nemeanLion_armorFrontRight.png,true,,,
# SCY_bluesky_lion_armorRL,SCY_lionRL,Bluesky,Bluesky,graphics/bluesky/ships/SCY_nemeanLion_armorRearLeft.png,true,,,
# SCY_bluesky_lion_armorRR,SCY_lionRR,Bluesky,Bluesky,graphics/bluesky/ships/SCY_nemeanLion_armorRearRight.png,true,,,


magiclib_nebula_errorPaintjob,nebula,Unresolved Template,,graphics/ships/magiclib_nebula_red.png,false,"MagicLib_PermanentPJ, MagicLib_HiddenPJ",,
